period,sales.kg,year,month,day,week,quincena,price,wd,wpd,Variants,TRPs,adstocks,trend1,trend2,y2002
100,1181.925,2003,11,30,48,1,23.9808509236271,7110.04506256957,1284.06652521642,108,1605.77,12433.6065319122,100,4.61512051684126,108
101,1123.091,2003,12,7,49,0,24.0429564699335,7067.70075515431,743.07563496624,105,1346.28,12536.5258787209,101,4.62497281328427,105
102,1021.28,2003,12,14,50,0,23.9289240430996,7038.36822015495,724.348736200517,105,1175.77,12458.6432908488,102,4.63472898822964,105
103,1040.848,2003,12,21,51,1,24.1085757003415,7043.65809968299,832.740522020265,106,680.3,11893.078961764,103,4.64439089914137,106
104,870.449,2003,12,28,52,0,24.4135872025031,7011.75827154792,849.980723855416,105,156.61,10860.3810655876,104,4.65396035015752,105
105,1122.432,2004,1,11,2,1,24.3888937713564,6664.87710168453,989.744780574457,94,12.79,9787.13295902881,105,4.66343909411207,94
106,1249.102,2004,1,18,3,1,24.4573987024441,6698.26934538307,941.981439952254,93,270.54,9078.95966312593,106,4.67282883446191,93
107,1137.206,2004,1,25,4,0,24.3909534445615,6738.02020633592,920.69487643003,90,991.28,9162.34369681334,107,4.68213122712422,90
108,1406.359,2004,2,1,5,1,24.2595849992851,6782.12684408904,1092.74348701331,90,1215.62,9461.729327132,108,4.69134788222914,90
109,1277.694,2004,2,8,6,0,24.3296061651905,6717.67183835632,825.859609161706,89,1611.49,10127.0463944188,109,4.70048036579242,89
110,1292.732,2004,2,15,7,1,24.3567116186547,6725.71917448974,972.147660025448,91,1031.97,10146.3117549769,110,4.70953020131233,91
111,1221.374,2004,2,22,8,0,24.358886948657,6681.07141540387,930.700858989369,90,1582.39,10714.0705794792,111,4.71849887129509,90
112,1388.45,2004,2,29,9,0,24.455015183994,6686.18030237711,950.491885921671,89,1088.69,10731.3535215313,112,4.72738781871234,89
113,1424.885,2004,3,7,10,1,23.9048865313097,6664.24695954926,928.767164601429,89,1421.13,11079.3481693782,113,4.7361984483945,89
114,1299.284,2004,3,14,11,0,23.9608943310603,6618.66314289333,949.054862643344,88,1074.88,11046.2933524404,114,4.74493212836325,88
115,1387.266,2004,3,21,12,1,23.7018425094568,6580.87674896205,929.243849623452,88,1645.39,11587.0540171963,115,4.75359019110636,88
116,1214.143,2004,3,28,13,0,23.9046786003228,6513.55568130463,803.855242472085,88,866.05,11294.3986154767,116,4.76217393479776,88
117,1453.795,2004,4,4,14,1,23.8199963907138,6511.91688729351,926.082996309912,87,1489.83,11654.788753929,117,4.77068462446567,87
118,1182.991,2004,4,11,15,0,23.8258975420965,6445.9733152505,673.229146932292,87,812.14,11301.4498785361,118,4.77912349311153,87
119,1471.267,2004,4,18,16,1,23.8606258319295,6509.14556570985,1003.2691439093,89,1003.3,11174.6048906825,119,4.78749174278205,89
120,1253.385,2004,4,25,17,0,23.7988455933322,6529.7654162406,975.390248152331,88,774.18,10831.3244016143,120,4.79579054559674,88
121,1394.243,2004,5,2,18,1,24.0458507165399,6580.10563580672,830.889140133545,87,1255.52,11003.7119614528,121,4.80402104473326,87
122,1230.455,2004,5,9,19,0,23.9144677416648,6575.9491194687,825.040099963741,88,918.11,10821.4507653076,122,4.81218435537242,88
123,1323.614,2004,5,16,20,1,23.9534186237426,6613.10169887062,854.274699395965,88,1158.78,10898.0856887768,123,4.82028156560504,88
124,1250.111,2004,5,23,21,0,23.9879861074619,6599.7487264134,894.390677506809,87,1109.73,10918.0071198991,124,4.8283137373023,87
125,1373.45,2004,5,30,22,1,23.7138088028625,6631.28400389882,966.090186506706,89,1176.23,11002.4364079092,125,4.83628190695148,89
126,1502.75,2004,6,6,23,0,23.8553878220198,6656.50461668808,989.723587592115,88,1221,11123.1927671183,126,4.84418708645859,88
127,1229.258,2004,6,13,24,0,24.1507402118394,6606.97103205527,815.940161944874,87,1063.67,11074.5434904065,127,4.85203026391962,87
128,1405.835,2004,6,20,25,1,24.20414865115,6589.05998634281,1092.64729540696,87,1757.99,11725.0791413658,128,4.85981240436167,87
129,1296.959,2004,6,27,26,0,23.632141487082,6551.60576996399,1550.28367211078,86,1264.17,11816.7412272292,129,4.86753445045558,86
130,1606.736,2004,7,4,27,1,23.5263809534852,6513.44504981161,1460.04252609449,85,974.04,11609.1071045063,130,4.87519732320115,85
131,1294.362,2004,7,11,28,0,24.1442589480408,6417.9801280122,1054.92762119846,87,942.4,11390.5963940557,131,4.88280192258637,87
132,1412.595,2004,7,18,29,1,23.8807363341365,6399.83098793097,1095.47768800764,86,1344.03,11595.5667546501,132,4.89034912822175,86
133,1232.555,2004,7,25,30,0,23.9616596394116,6335.27377008122,1136.84675769766,85,1350.82,11786.8300791851,133,4.89783979995091,85
134,1477.192,2004,8,1,31,1,23.4779134030909,6307.28828856767,1408.00980091379,84,1380.63,11988.7770712666,134,4.90527477843843,84
135,1398.211,2004,8,8,32,0,23.7162939163732,6284.84942398602,1342.20164845381,84,840.54,11630.4393641399,135,4.91265488573605,84
136,1413.714,2004,8,15,33,1,23.6671958145612,6262.36215954337,1097.46379101052,85,1362.11,11829.5054277259,136,4.91998092582813,85
137,1404.403,2004,8,22,34,0,23.5422986696396,6277.22463260735,1036.68354764998,84,824.27,11470.8248849533,137,4.92725368515721,84
138,1296.57,2004,8,29,35,0,23.2684302678453,6269.23446973602,864.459797593931,84,978.64,11302.382396458,138,4.93447393313069,84
139,1531.689,2004,9,5,36,1,23.4216171657361,6287.14975311061,651.825932996447,85,757.16,10929.3041568122,139,4.9416424226093,85
140,1217.642,2004,9,12,37,0,23.5559464499283,6212.12862968224,657.87051212441,84,934.46,10770.833741131,140,4.94875989037817,84
141,1294.762,2004,9,19,38,1,23.6281936937524,6195.1406046287,804.739108819129,83,997.77,10691.5203670179,141,4.95582705760126,83
142,1145.832,2004,9,26,39,0,23.8530420573556,6184.64944750185,823.395244497354,83,1391.46,11013.8283303161,142,4.96284463025991,83
143,1484.425,2004,10,3,40,1,23.1772517540314,6208.54703295596,761.680529139561,82,1446.52,11358.9654972845,143,4.969813299576,82
144,1266.021,2004,10,10,41,0,23.4606604303372,6182.73662800449,760.139212888684,82,1501.72,11724.788947556,144,4.97673374242057,82
145,1338.546,2004,10,17,42,1,23.4508870858051,6192.17770660823,1198.3175754128,80,1209.44,11761.7500528004,145,4.98360662170834,80
146,1182.353,2004,10,24,43,0,23.5023212989075,6163.65795914217,1163.31713375394,81,1406.1,11991.6750475204,146,4.99043258677874,81
147,1186.112,2004,10,31,44,1,23.7404779009783,6141.90791522572,812.733539874696,80,1185.07,11977.5775427684,147,4.99721227376411,80
148,1260.459,2004,11,7,45,0,23.5626965207291,6160.57033618194,731.593990175384,80,1563.03,12342.8497884915,148,5.00394630594546,80
149,1142.819,2004,11,14,46,0,23.6363824493084,6161.12774303719,766.800469115679,81,1239.14,12347.7048096424,149,5.01063529409626,81
150,1137.612,2004,11,21,47,1,23.6561139890152,6155.29854184353,815.89177874453,80,2074.63,13187.5643286781,150,5.01727983681492,80
151,1060.344,2004,11,28,48,0,23.1338254664244,6146.71622407055,978.509845056378,80,1282.45,13151.2578958103,151,5.02388052084628,80
152,1319.833,2004,12,5,49,1,22.8289899976621,6192.53063735516,1204.09319633859,79,1236.36,13072.4921062293,152,5.03043792139244,79
153,1066.076,2004,12,12,50,0,23.1047630043837,6143.2357978947,1115.21124128043,80,845.43,12610.6728956064,153,5.03695260241363,80
154,1165.943,2004,12,19,51,1,23.3876341025072,6181.83548862524,988.774387208155,81,850.23,12199.8356060457,154,5.04342511691925,81
155,958.471,2004,12,26,52,0,23.5181097355843,6096.61710141771,680.504375267404,80,856.28,11836.1320454412,155,5.04985600724954,80
156,1015.851,2005,1,2,1,1,23.5563676083397,6125.75770736301,687.532027828419,80,308.98,10961.498840897,156,5.05624580534831,80
157,1222.949,2005,1,9,2,0,23.7172014606337,6096.86099359934,787.696701969497,80,829.73,10695.0789568073,157,5.06259503302697,80
158,1355.221,2005,1,16,3,1,23.4991062551281,6157.03611524808,1152.05559965734,80,1079.83,10705.4010611266,158,5.06890420222023,80
159,1208.474,2005,1,23,4,0,24.1129920759282,6115.21900543207,1110.97602061905,81,1388.28,11023.1409550139,159,5.07517381523383,81
160,1255.626,2005,1,30,5,1,24.2556879198094,6146.50379058637,1013.17646809078,81,1451.04,11371.8668595125,160,5.08140436498446,81
161,1363.336,2005,2,6,6,0,24.3904504605598,6174.52982945659,955.746805254739,80,1106.77,11341.4501735613,161,5.08759633523238,80
162,1153.204,2005,2,13,7,0,24.4299984433211,6131.99999163884,954.722628265258,80,925.33,11132.6351562052,162,5.09375020080676,80
163,1254.329,2005,2,20,8,1,24.4138739625644,6141.43933122899,972.758489773115,80,992.43,11011.8016405846,163,5.0998664278242,80
164,1210.281,2005,2,27,9,0,24.28567466598,6134.27504621704,812.634269325343,79,1134.76,11045.3814765262,164,5.10594547390058,79
165,1452.206,2005,3,6,10,1,23.8830638946539,6098.93239958294,717.46880177094,80,954.01,10894.8533288736,165,5.11198778835654,80
166,1163.396,2005,3,13,11,0,24.3665005838792,6082.72688724124,708.46375943374,79,1188.25,10993.6179959862,166,5.11799381241676,79
167,1249.247,2005,3,20,12,1,24.5420361794774,6081.70315159129,726.800129845431,81,1002.31,10896.5661963876,167,5.12396397940326,81
168,1142.201,2005,3,27,13,0,24.5662710932173,6019.36143052887,599.481161389013,80,1317.72,11124.6295767488,168,5.12989871492307,80
